Star Name,Spectral Type,Stellar Radius [Solar Radius],Element Composition,Host Name,ObjectType
TOI-836,,0.77,Hydrogen,TOI-836,S
TOI-837,,0.96,Hydrogen,TOI-837,S
TOI-849,,0.75,Hydrogen,TOI-849,S
TOI-858,,0.7,Hydrogen,TOI-858 B,S
TOI-871,,1.14,Hydrogen,TOI-871,S
TOI-880,,0.77,Hydrogen,TOI-880,S
TOI-892,,1.01,Hydrogen,TOI-892,S
TOI-904,,1.21,Hydrogen,TOI-904,S
TOI-905,,0.72,Hydrogen,TOI-905,S
TOI-907,,0.85,Hydrogen,TOI-907,S
TOI-908,,0.53,Hydrogen,TOI-908,S
TOI-913,,0.88,Hydrogen,TOI-913,S
TOI-942,,1.43,Hydrogen,TOI-942,S
TOI-954,,1.03,Hydrogen,TOI-954,S
TOI-969,,1,Hydrogen,TOI-969,S
TRAPPIST-1,,1.95,Hydrogen,TRAPPIST-1,S
TYC 0434-04538-1,,0.86,Hydrogen,TYC 0434-04538-1,S
TYC 1422-614-1,,1.35,Hydrogen,TYC 1422-614-1,S
TYC 2187-512-1,,1.18,Hydrogen,TYC 2187-512-1,S
TYC 3318-01333-1,,1.08,Hydrogen,TYC 3318-01333-1,S
TYC 3667-1280-1,,0.86,Hydrogen,TYC 3667-1280-1,S
TYC 4282-00605-1,,0.75,Hydrogen,TYC 4282-00605-1,S
TYC 8998-760-1,,0.82,Hydrogen,TYC 8998-760-1,S
Teegarden's Star,F8 V,1.61,Hydrogen,Teegarden's Star,S
TrES-1,,1.95,Hydrogen,TrES-1,S
TrES-2,,0.89,Hydrogen,TrES-2,S
TrES-3,,0.82,Hydrogen,TrES-3,S
TrES-4,,1.04,Hydrogen,TrES-4,S
TrES-5,,0.86,Hydrogen,TrES-5,S
UCAC3 113-933,,1.02,Hydrogen,UCAC3 113-933,S
UCAC4 328-061594,,0.97,Hydrogen,UCAC4 328-061594,S
UKIRT-2017-BLG-001L,,0.75,Hydrogen,UKIRT-2017-BLG-001L,S
USco CTIO 108,,0.81,Hydrogen,USco CTIO 108,S
USco1556 A,,1.09,Hydrogen,USco1556 A,S
USco1621 A,,1.09,Hydrogen,USco1621 A,S
UZ For,,1.14,Hydrogen,UZ For,S
V0391 Peg,,1.35,Hydrogen,V0391 Peg,S
V1298 Tau,,1.05,Hydrogen,V1298 Tau,S
V830 Tau,,0.93,Hydrogen,V830 Tau,S
VHS J125601.92-125723.9,,1.09,Hydrogen,VHS J125601.92-125723.9,S
WASP-1,,1.06,Hydrogen,WASP-1,S
WASP-10,,1.16,Hydrogen,WASP-10,S
WASP-100,,0.84,Hydrogen,WASP-100,S
WASP-101,,0.84,Hydrogen,WASP-101,S
WASP-103,,0.72,Hydrogen,WASP-103,S
WASP-104,,0.81,Hydrogen,WASP-104,S
WASP-105,,0.83,Hydrogen,WASP-105,S
WASP-106,,1.21,Hydrogen,WASP-106,S
WASP-107,,0.92,Hydrogen,WASP-107,S
WASP-11,,0.97,Hydrogen,WASP-11,S
WASP-110,,0.72,Hydrogen,WASP-110,S
WASP-113,,0.9,Hydrogen,WASP-113,S
WASP-114,,1.17,Hydrogen,WASP-114,S
WASP-117,,1.48,Hydrogen,WASP-117,S
WASP-118,M0 V,0.53,Hydrogen,WASP-118,S
WASP-119,M0 V,0.53,Hydrogen,WASP-119,S
WASP-12,,0.7,Hydrogen,WASP-12,S
WASP-120,,1.24,Hydrogen,WASP-120,S
WASP-121,,1.04,Hydrogen,WASP-121,S
WASP-123,,0.61,Hydrogen,WASP-123,S
WASP-124,,1.03,Hydrogen,WASP-124,S
WASP-126,,0.81,Hydrogen,WASP-126,S
WASP-127,,1.06,Hydrogen,WASP-127,S
WASP-129,,0.76,Hydrogen,WASP-129,S
WASP-13,,1.38,Hydrogen,WASP-13,S
WASP-130,,0.7,Hydrogen,WASP-130,S
WASP-131,,0.7,Hydrogen,WASP-131,S
WASP-132,,0.92,Hydrogen,WASP-132,S
WASP-133,,1.21,Hydrogen,WASP-133,S
WASP-135,,0.8,Hydrogen,WASP-135,S
WASP-136,,0.93,Hydrogen,WASP-136,S
WASP-138,,0.98,Hydrogen,WASP-138,S
WASP-139,,1.08,Hydrogen,WASP-139,S
WASP-14,,1.1,Hydrogen,WASP-14,S
WASP-140,,1.94,Hydrogen,WASP-140,S
WASP-141,,1.22,Hydrogen,WASP-141,S
WASP-142,,1.22,Hydrogen,WASP-142,S
WASP-144,,1.22,Hydrogen,WASP-144,S
WASP-145,,1.22,Hydrogen,WASP-145 A,S
WASP-147,,0.95,Hydrogen,WASP-147,S
WASP-148,,0.99,Hydrogen,WASP-148,S
WASP-15,,0.8,Hydrogen,WASP-15,S
WASP-150,,0.75,Hydrogen,WASP-150,S
WASP-151,,1.22,Hydrogen,WASP-151,S
WASP-153,,1.19,Hydrogen,WASP-153,S
WASP-156,,1.02,Hydrogen,WASP-156,S
WASP-157,,0.95,Hydrogen,WASP-157,S
WASP-158,,0.74,Hydrogen,WASP-158,S
WASP-159,,0.51,Hydrogen,WASP-159,S
WASP-16,,1.26,Hydrogen,WASP-16,S
WASP-160,,1.26,Hydrogen,WASP-160 B,S
WASP-84,,1.08,Hydrogen,WASP-84,S
WASP-85,,1,Hydrogen,WASP-85 A,S
WASP-87,,0.89,Hydrogen,WASP-87,S
WASP-88,,1.25,Hydrogen,WASP-88,S
WASP-89,,0.76,Hydrogen,WASP-89,S
WASP-90,,0.9,Hydrogen,WASP-90,S
WASP-91,,0.82,Hydrogen,WASP-91,S
WASP-92,,0.9,Hydrogen,WASP-92,S
WASP-93,,1.48,Hydrogen,WASP-93,S
WASP-94,,1.57,Hydrogen,WASP-94 A,S
WASP-95,,0.64,Hydrogen,WASP-95,S
WASP-96,,0.64,Hydrogen,WASP-96,S
WASP-97,,0.96,Hydrogen,WASP-97,S
WASP-98,,0.8,Hydrogen,WASP-98,S
WASP-99,,0.74,Hydrogen,WASP-99,S
WD 0806-661,,0.94,Hydrogen,WD 0806-661,S
WD 1856+534,,1.77,Hydrogen,WD 1856+534,S
WISE J033605.05-014350.4,,0.83,Hydrogen,WISE J033605.05-014350.4,S
WISEP J121756.91+162640.2 A,,0.83,Hydrogen,WISEP J121756.91+162640.2 A,S
WTS-1,,0.69,Hydrogen,WTS-1,S
WTS-2,,0.82,Hydrogen,WTS-2,S
Wendelstein-1,,1.21,Hydrogen,Wendelstein-1,S
Wendelstein-2,,1.28,Hydrogen,Wendelstein-2,S
Wolf 1061,M1 V,0.51,Hydrogen,Wolf 1061,S
Wolf 1069,,0.89,Hydrogen,Wolf 1069,S
Wolf 327,,1.09,Hydrogen,Wolf 327,S
Wolf 503,,1.1,Hydrogen,Wolf 503,S
XO-1,,0.75,Hydrogen,XO-1,S
XO-2,,0.75,Hydrogen,XO-2 N,S
XO-3,,1.36,Hydrogen,XO-3,S
XO-4,,0.87,Hydrogen,XO-4,S
XO-5,,0.99,Hydrogen,XO-5,S
XO-6,,0.77,Hydrogen,XO-6,S
XO-7,,1.36,Hydrogen,XO-7,S
YSES 2,,1.36,Hydrogen,YSES 2,S
YZ Cet,,1.36,Hydrogen,YZ Cet,S
alf Ari,,0.98,Hydrogen,alf Ari,S
alf Tau,,0.8,Hydrogen,alf Tau,S
b Cen,,0.98,Hydrogen,b Cen A,S
bet Cnc,,0.69,Hydrogen,bet Cnc,S
bet Pic,,0.76,Hydrogen,bet Pic,S
bet UMi,,1.2,Hydrogen,bet UMi,S
eps CrB,,1.09,Hydrogen,eps CrB,S
eps Eri,,1.15,Hydrogen,eps Eri,S
eps Ind,,1.36,Hydrogen,eps Ind A,S
eps Tau,,1.36,Hydrogen,eps Tau,S
gam Cep,,1.36,Hydrogen,gam Cep,S
gam Lib,,3.38,Hydrogen,gam Lib,S
gam Psc,,1.09,Hydrogen,gam Psc,S
gam Leo,,0.91,Hydrogen,gam1 Leo,S
iot Dra,,2.17,Hydrogen,iot Dra,S
kap And,,1.21,Hydrogen,kap And,S
kap CrB,,0.92,Hydrogen,kap CrB,S
mu Leo,,1.16,Hydrogen,mu Leo,S
mu2 Sco,,1.33,Hydrogen,mu2 Sco,S
nu Oct,,1.66,Hydrogen,nu Oct A,S
nu Oph,,1.66,Hydrogen,nu Oph,S
ome Ser,,0.83,Hydrogen,ome Ser,S
omi CrB,,0.89,Hydrogen,omi CrB,S
omi UMa,,1.25,Hydrogen,omi UMa,S
HD 39091,,0.79,Hydrogen,HD 39091,S
psi1 Dra,,0.98,Hydrogen,psi1 Dra B,S
rho CrB,,0.94,Hydrogen,rho CrB,S
tau Boo,G4 V,1.65,Hydrogen,tau Boo,S
tau Cet,G4 V,1.65,Hydrogen,tau Cet,S
tau Gem,,1.28,Hydrogen,tau Gem,S
ups And,,0.97,Hydrogen,ups And,S
ups Leo,,0.99,Hydrogen,ups Leo,S
xi Aql,,2,Hydrogen,xi Aql,S
